ADYYc2Ftc3VuZw,AndroidAP1,B-Block,B-block-106,B4Xj-cmFraQ,C,D,D-Link_DIR-524,DIRECT-c3-athene_f,HP-Print-02-LaserJet Pro MFP,HP-Print-10-LaserJet Pro MFP,LRC_1,LRC_2,Mavi,Micromax Q4251,Pranay ,VLSIDESIGN_LAB,_id,akansha verma,cellID,dlink,dlink_pksingh,ellijah sentra,geekishh,iPhone,pankaj mimani,torr,vivo 1727,x,y,cellid_
100.0,100.0,100.0,100.0,100.0,-71.0,100.0,100.0,100.0,-85.0,100.0,100.0,100.0,100.0,100.0,100.0,-80.0,{'$oid': '5b656b000495aa0008249cdb'},100.0,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7,14,296
100.0,100.0,100.0,100.0,100.0,-71.0,100.0,100.0,100.0,-86.0,100.0,100.0,100.0,100.0,100.0,100.0,-76.0,{'$oid': '5b656b250495aa0008249cdc'},100.0,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7,15,297
100.0,100.0,100.0,100.0,100.0,-63.0,100.0,100.0,100.0,-86.0,100.0,100.0,100.0,100.0,100.0,100.0,-72.0,{'$oid': '5b656b390495aa0008249cde'},100.0,3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7,16,298
100.0,100.0,100.0,100.0,100.0,-62.0,100.0,100.0,100.0,-86.0,100.0,100.0,100.0,100.0,100.0,100.0,-72.0,{'$oid': '5b656b600495aa0008249ce1'},100.0,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7,17,299
100.0,100.0,100.0,100.0,100.0,-59.0,100.0,100.0,100.0,-87.0,100.0,100.0,100.0,100.0,100.0,100.0,-75.0,{'$oid': '5b656b780495aa0009dc0dae'},100.0,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7,18,300
100.0,100.0,100.0,100.0,100.0,-65.0,100.0,100.0,100.0,-87.0,100.0,100.0,100.0,100.0,100.0,100.0,-74.0,{'$oid': '5b656b9c0495aa0009dc0db0'},100.0,6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7,19,301
100.0,100.0,100.0,100.0,100.0,-58.0,100.0,100.0,100.0,-82.0,100.0,100.0,100.0,100.0,100.0,100.0,-66.0,{'$oid': '5b656c230495aa0008249ce2'},100.0,21,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8,14,343
100.0,100.0,100.0,100.0,100.0,-64.0,100.0,100.0,100.0,-83.0,100.0,100.0,100.0,100.0,100.0,100.0,-72.0,{'$oid': '5b656c310495aa0009dc0db1'},100.0,22,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8,15,344
100.0,100.0,100.0,100.0,100.0,-61.0,100.0,100.0,100.0,-84.0,100.0,100.0,100.0,100.0,100.0,100.0,-71.0,{'$oid': '5b656c4a0495aa0009dc0db2'},100.0,23,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8,16,345
100.0,100.0,100.0,100.0,100.0,-64.0,100.0,100.0,100.0,-84.0,100.0,100.0,100.0,100.0,100.0,100.0,-72.0,{'$oid': '5b656c5c0495aa0008249ce3'},100.0,24,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8,17,346
100.0,100.0,100.0,100.0,100.0,-59.0,100.0,100.0,100.0,-78.0,100.0,100.0,-91.0,100.0,100.0,100.0,-77.0,{'$oid': '5b656c7e0495aa0009dc0db3'},100.0,25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8,18,347
100.0,100.0,100.0,100.0,100.0,-63.0,100.0,100.0,100.0,-86.0,100.0,100.0,100.0,100.0,-90.0,100.0,-77.0,{'$oid': '5b656cd30495aa0008249ce4'},100.0,7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7,20,302
