_id,x,y,cell,SSID,value
ObjectId(5b472155120ecc0008b9fb80),"[""1"",""1"",""1"",""1""]","[""1"",""1"",""1"",""1""]","[""1"",""1"",""1"",""1""]","[""ciscosb"",""Connectify-asia"",""VLSIDESIGN_LAB"",""dlink_pksingh""]","[""-65"",""-91"",""-70"",""-88""]"
ObjectId(5b47217c120ecc0009716977),"[""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2""]","[""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1""]","[""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2""]","[""ciscosb"",""Connectify-asia"",""VLSIDESIGN_LAB"",""dlink_pksingh"",""dlink"",""ciscosb"",""Connectify-asia"",""VLSIDESIGN_LAB"",""dlink_pksingh"",""dlink""]","[""-63"",""-90"",""-66"",""-88"",""-91"",""-63"",""-90"",""-65"",""-88"",""-91""]"
ObjectId(5b472193120ecc0009716978),"[""1"",""1"",""1"",""1""]","[""2"",""2"",""2"",""2""]","[""3"",""3"",""3"",""3""]","[""ciscosb"",""Connectify-asia"",""VLSIDESIGN_LAB"",""dlink""]","[""-61"",""-90"",""-65"",""-91""]"
ObjectId(5b4721a6120ecc0008b9fb81),"[""2"",""2"",""2"",""2""]","[""2"",""2"",""2"",""2""]","[""4"",""4"",""4"",""4""]","[""ciscosb"",""Connectify-asia"",""VLSIDESIGN_LAB"",""dlink""]","[""-62"",""-92"",""-71"",""-90""]"
ObjectId(5b4721b9120ecc0009716979),"[""1"",""1"",""1"",""1"",""1""]","[""3"",""3"",""3"",""3"",""3""]","[""5"",""5"",""5"",""5"",""5""]","[""ciscosb"",""Connectify-asia"",""VLSIDESIGN_LAB"",""dlink"",""D-Link_DIR-524""]","[""-61"",""-92"",""-67"",""-90"",""-94""]"
ObjectId(5b4721f3120ecc000971697a),"[""2"",""2"",""2"",""2"",""2""]","[""3"",""3"",""3"",""3"",""3""]","[""6"",""6"",""6"",""6"",""6""]","[""ciscosb"",""Connectify-asia"",""VLSIDESIGN_LAB"",""dlink"",""D-Link_DIR-524""]","[""-66"",""-92"",""-78"",""-90"",""-94""]"
ObjectId(5b472217120ecc0008b9fb82),"[""1"",""1"",""1"",""1"",""1""]","[""4"",""4"",""4"",""4"",""4""]","[""7"",""7"",""7"",""7"",""7""]","[""ciscosb"",""Connectify-asia"",""VLSIDESIGN_LAB"",""dlink"",""D-Link_DIR-524""]","[""-63"",""-92"",""-68"",""-90"",""-94""]"
ObjectId(5b472229120ecc0008b9fb83),"[""2"",""2"",""2"",""2""]","[""4"",""4"",""4"",""4""]","[""8"",""8"",""8"",""8""]","[""ciscosb"",""Connectify-asia"",""VLSIDESIGN_LAB"",""dlink_pksingh""]","[""-63"",""-92"",""-67"",""-84""]"
ObjectId(5b47223d120ecc0008b9fb84),"[""1"",""1"",""1"",""1"",""1""]","[""5"",""5"",""5"",""5"",""5""]","[""9"",""9"",""9"",""9"",""9""]","[""ciscosb"",""Connectify-asia"",""VLSIDESIGN_LAB"",""dlink_pksingh"",""dlink""]","[""-67"",""-89"",""-73"",""-84"",""-93""]"
ObjectId(5b472265120ecc0008b9fb85),"[""1"",""1"",""1"",""1"",""1""]","[""5"",""5"",""5"",""5"",""5""]","[""9"",""9"",""9"",""9"",""9""]","[""ciscosb"",""Connectify-asia"",""VLSIDESIGN_LAB"",""dlink_pksingh"",""dlink""]","[""-65"",""-89"",""-73"",""-84"",""-93""]"
